solver_name,study_id,result_state_id,load_case,severity,code,source,target,message
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_0_s3_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_0_s4_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_0_s5_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_0_s6_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_0_s7_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_0_s8_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_0_s9_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_0_s10_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_0_s11_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_0_s12_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_0_s13_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_0_s14_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_0_s15_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_1_s0_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_1_s1_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_1_s2_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_1_s3_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_1_s4_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_1_s5_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_1_s6_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_1_s7_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_1_s8_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_1_s9_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_1_s10_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_1_s11_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_1_s12_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_1_s13_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_1_s14_mid' without mesh source mapping.
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,warning,SOLVER_PARSER_DIAGNOSTIC,result_state:result_state:Operating,result_state:result_state:Operating,Preserved displacement row for non-native analysis node 'pipe_bend_1_s15_mid' without mesh source mapping.
