solver_name,study_id,result_state_id,load_case,entity_ref,location_kind,node_id,dx,dy,dz,drx,dry,drz,translation_magnitude,rotation_magnitude
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_n4,analysis_node,pipe_bend_1_n4,0.0106906,0.000191824,-0.00343182,-0.000603186,-0.00605278,2.24509e-05,0.011229564253317044,0.006082802242544698
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_n5,analysis_node,pipe_bend_1_n5,0.0106129,0.000240133,-0.00342796,-0.000561736,-0.00610354,3.63651e-05,0.011155367319335075,0.0061294429017484135
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_n6,analysis_node,pipe_bend_1_n6,0.0105187,0.000287195,-0.00341831,-0.000520252,-0.00615151,4.71955e-05,0.011063922175888847,0.006173650851710376
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_n7,analysis_node,pipe_bend_1_n7,0.0104088,0.000332349,-0.00340311,-0.000478866,-0.00619647,5.5304e-05,0.010956036280055894,0.00621519200341164
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_n8,analysis_node,pipe_bend_1_n8,0.0102842,0.000374969,-0.00338264,-0.000437704,-0.00623825,6.10576e-05,0.010832710868501984,0.006253884863397612
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_n9,analysis_node,pipe_bend_1_n9,0.0101461,0.000414474,-0.00335727,-0.000396891,-0.00627671,6.48224e-05,0.010695157584606969,0.006289579702454112
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_s0_mid,analysis_node,pipe_bend_1_s0_mid,0.0108231,2.31459e-05,-0.00339804,-0.00074615,-0.00585744,-5.54289e-05,0.011344016272215358,0.005905033068413353
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_s10_mid,analysis_node,pipe_bend_1_s10_mid,0.00991516,0.000466327,-0.00331059,-0.000336587,-0.00632794,6.75787e-05,0.01046364491200982,0.006337245642458771
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_s11_mid,analysis_node,pipe_bend_1_s11_mid,0.00974932,0.000495805,-0.00327502,-0.000297159,-0.00635787,6.79163e-05,0.010296641154319452,0.006365172977381423
Code_Aster,analysis_study:Operating,result_state:Operating,Operating,analysis_node:pipe_bend_1_s12_mid,analysis_node,pipe_bend_1_s12_mid,0.00957507,0.000520586,-0.00323628,-0.000258475,-0.00638436,6.74493e-05,0.010120596994579716,0.00638994611427166
