#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000034 CALCULE LE 10/09/2026 A 01:01:07 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ
RESU            ,DEPL            , 0.00000E+00,           1,105     ,-8.00000E-02,-3.88377E-02, 9.57263E-03, 0.00000E+00, 1.52455E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,106     ,-8.00000E-02,-4.00000E-02, 1.13310E-17, 0.00000E+00, 1.77860E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,107     ,-8.00000E-02,-3.88377E-02,-9.57263E-03, 0.00000E+00, 7.53949E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,108     ,-8.00000E-02,-3.54182E-02,-1.85889E-02, 0.00000E+00, 1.42879E-26, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,109     ,-8.00000E-02,-2.99404E-02,-2.65249E-02, 0.00000E+00,-5.24499E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,110     ,-8.00000E-02,-2.27226E-02,-3.29194E-02, 0.00000E+00,-6.58977E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,111     ,-8.00000E-02,-1.41842E-02,-3.74006E-02, 0.00000E+00,-1.40862E-23, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,112     ,-8.00000E-02,-4.82147E-03,-3.97084E-02, 0.00000E+00, 3.83752E-25, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,113     ,-8.00000E-02, 4.82147E-03,-3.97084E-02, 0.00000E+00,-1.54819E-23, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,114     ,-8.00000E-02, 1.41842E-02,-3.74006E-02, 0.00000E+00,-7.32423E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,115     ,-8.00000E-02, 2.27226E-02,-3.29194E-02, 0.00000E+00,-1.16650E-23, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,116     ,-8.00000E-02, 2.99404E-02,-2.65249E-02, 0.00000E+00,-1.52032E-23, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,117     ,-8.00000E-02, 3.54182E-02,-1.85889E-02, 0.00000E+00, 6.40227E-25, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,118     ,-8.00000E-02, 3.88377E-02,-9.57263E-03, 0.00000E+00, 2.51353E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,119     ,-8.00000E-02, 4.00000E-02,-4.28748E-17, 0.00000E+00, 3.19081E-24, 0.00000E+00
RESU            ,DEPL            , 0.00000E+00,           1,120     ,-8.00000E-02, 3.88377E-02, 9.57263E-03, 0.00000E+00,-5.25594E-24, 0.00000E+00
