#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000035 CALCULE LE 27/08/2026 A 12:40:51 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,NOEUD,COOR_X,COOR_Y,COOR_Z,DX,DY,DZ
RESU            ,FORC_NODA       , 0.00000E+00,           1,58      ,-5.00000E-03, 9.79685E-18, 4.00000E-02,-6.09055E-07, 3.86242E-02, 7.09067E-03
RESU            ,FORC_NODA       , 0.00000E+00,           1,59      ,-7.75000E-02, 9.79685E-18, 4.00000E-02, 3.55271E-15,-1.45360E-04, 5.94469E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,60      ,-7.25000E-02, 9.79685E-18, 4.00000E-02, 5.32907E-15, 5.98188E-13, 7.21815E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,61      ,-6.75000E-02, 9.79685E-18, 4.00000E-02,-7.99361E-14, 5.34795E-03, 7.33442E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,62      ,-6.25000E-02, 9.79685E-18, 4.00000E-02,-1.06581E-14,-2.22045E-14, 7.21844E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,63      ,-5.75000E-02, 9.79685E-18, 4.00000E-02,-9.23706E-14,-2.19979E-02, 6.66538E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,64      ,-5.25000E-02, 9.79685E-18, 4.00000E-02,-2.38032E-13, 6.68798E-13, 7.21810E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,65      ,-4.75000E-02, 9.79685E-18, 4.00000E-02, 7.63833E-14,-1.27419E-03, 7.18500E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,66      ,-4.25000E-02, 9.79685E-18, 4.00000E-02, 3.53495E-13,-1.30739E-03, 7.19801E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,67      ,-3.75000E-02, 9.79685E-18, 4.00000E-02,-4.67182E-13, 3.14307E-04, 7.22828E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,68      ,-3.25000E-02, 9.79685E-18, 4.00000E-02,-1.01252E-13, 2.42651E-04, 7.22108E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,69      ,-2.75000E-02, 9.79685E-18, 4.00000E-02,-9.62785E-13, 3.54827E-13, 7.21846E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,70      ,-2.25000E-02, 9.79685E-18, 4.00000E-02,-1.98952E-13, 7.29955E-03, 6.46620E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,71      ,-1.75000E-02, 9.79685E-18, 4.00000E-02,-1.06315E-12, 1.10887E-03, 7.24364E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,72      ,-1.25000E-02, 9.79685E-18, 4.00000E-02, 1.08358E-13, 4.13887E-02, 8.25559E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,73      ,-7.50000E-03, 9.79685E-18, 4.00000E-02, 1.73106E-12,-3.92555E-02, 6.15647E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,74      ,-2.50000E-03, 9.79685E-18, 4.00000E-02,-5.59101E-06,-2.75263E-02, 6.51231E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,75      ,-8.00000E-02,-4.91553E-03, 3.96968E-02,-1.15036E+01, 1.49392E+00,-9.00921E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,76      ,-8.00000E-02,-9.75655E-03, 3.87919E-02,-1.11955E+01, 1.19762E+00,-8.12724E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,77      ,-8.00000E-02,-1.44497E-02, 3.72989E-02,-1.20121E+01, 3.77632E+00,-8.76959E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,78      ,-8.00000E-02,-1.89237E-02, 3.52405E-02,-1.18839E+01, 4.24497E+00,-7.67759E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,79      ,-8.00000E-02,-2.31110E-02, 3.26479E-02,-1.25210E+01, 5.61283E+00,-9.13041E+00
RESU            ,FORC_NODA       , 0.00000E+00,           1,80      ,-8.00000E-02,-2.69478E-02, 2.95604E-02,-1.26367E+01, 5.69484E+00,-7.15163E+00
